check	status	exit_code	log
git-status-clean	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/git-status-clean.log
npm-run-build	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-build.log
npm-run-test-accessibility	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-accessibility.log
npm-run-test-bundle	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-bundle.log
npm-run-test-race	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-race.log
npm-run-test-race-browser	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-race-browser.log
npm-run-test-race-disable	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-race-disable.log
npm-run-test-hub	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-hub.log
npm-run-test-visual	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-visual.log
npm-run-test-core	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-core.log
npm-run-test-api-data	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-api-data.log
npm-run-test-pwa	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-pwa.log
npm-run-test-pwa-update	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-pwa-update.log
npm-run-test-headers-deployed	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-headers-deployed.log
npm-run-test-lab	fail	1	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-lab.log
npm-run-test-release-smoke	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-release-smoke.log
npm-run-test-release-rollback	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-release-rollback.log
npm-run-test-release-artifacts	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-release-artifacts.log
npm-run-test-ci-release	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-ci-release.log
npm-run-test-production-gates	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-production-gates.log
npm-run-test-qa-capture	fail	1	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-qa-capture.log
npm-run-test-monitoring-support	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-monitoring-support.log
npm-run-test-security-prod	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-security-prod.log
npm-run-test-lifecycle	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-lifecycle.log
npm-run-test-webgl	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-webgl.log
npm-run-test-cross-browser	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-cross-browser.log
npm-run-test-device-matrix	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-run-test-device-matrix.log
npm-audit	pass	0	.agent/runs/kart-racer-production-readiness/evidence/release-checklist-001-20260603T160520Z/npm-audit.log
